,content
22,"아시아나는 요즘 고전하고 있는 양상임. LCC는 치고 들어오지 장거리에서는 대항항공과 경쟁에서 밀리지..
기체는 점점 노후화되고..퍼스트클래스도 거의 빼버리는 추세고. 정비에 대한 말도 나오고 있고..
저는 스카이패스, 친구는 아시아나 마일리지 모으는데 친구도 마일리지는 모으고 있지만 노선이 한정되서 장거리같으면
1년전부터 알아봐야한다고.. 
시중에서 신용카드로 마일리지 적립할 때 아시아나가 대한항공보다 조금 더 적립율 높게 주는 이유가 다 있다고 하네요.."
23,저는 에티하드380타봣는데 에티하드가 제일 괜찮았다고 생각합니다^^
24,00:55 코드쉐어가 무조건 같은 얼라이언스 인건 아닙니다
25,5:57 케세이고요
26,나는 터키항공이 제일좋아
27,에어프랑스는 몇위정도인가요?
28,풉....   
29,EVA항공은 에바야
30,저는 루프트 한자 타고 유럽 투어 했어요
31,개인적으로 터키항공
32,외항사 짱이다~~
33,세계 공항서비스 순위도 해주세요...
34,대한항공 없으니 충격적이네.
35,스카이팀
36,흠...
37,하이난 항공 이코노미석에 티비가 없고 음식은 엄청맛없습니다 (이코노미석 기준)
38,케세이 와 내가 인천에서 홍콩 페낭(말레이시아) 까지 오는데 이게 6위 나는 쓰레기 인줄 알았는데 허기야 뭐 리모컨 잇는 케세이는 좋긴하지
39,싱가폴항공은 자회사 저가항공인 스쿠트항공도 좋고 창이공항도 시설    고 안좋은게 없내
40,"하이난, 아나, 에바는 의외다. 에티하드도 10위권 안에 들만 한것 같은데."
41,멋있네요  이런항공기 탈려면  어떤일을해야 탈런지요  부럽네요
42,그냥 싱가폴 항공한테 1표
43,저는 아시아나 항공 많이 타봣어요
44,망할 스카이팀만 타는데 스카이팀이 탑텐에 가루다 항공밖에없어
45,서비스 제외하고 나머지에선 그렇게 최고인지 모르겠는데요. 평의한듯요. 실제 랭킹도 중간정도... 오히려 사고가 많조. 안전부분이 좀... 미국에선 대한항공 탑승 안하는쪽으로 권고하는데요...
46,저는 비행기 5번만 안 타 봤지만 아시아나만 탔습니다   
47,"가루다인도네시아는 진짜 의외네요. 케세이퍼시픽도 수년째 적자속에서 공채도 6-7년째 없던 항공사인데 10위권이라니 대단. 또 중화항공대신 하이난이 껴있는게 의외네요. 점점 커지는 중국 항공시장. 최소 5년, 10년뒤면 중국이 에바항공까지 10위권 네다섯개 다 차고올라올듯.."
48,저는  싱가폴과 타이 에어웨이 때문에 스얼모으네요. 의외로 아시아나를 굉장히 드물게 타봤습니다. 개인적으로 가격대비 타이항공이 괜찮은것 같아요 살짝더 저렴하고 서비스는 그냥 저냥 괜찮음 단지 기내엔터테이먼트가 다른 항공사에비해 빈약한 느낌입니다
49,인천공항 좋은지 몰랐는데 샤르드골에서 뺑뺑이 돌다 식겁먹고 좋은거 알게 됬어요  
50,-1st ryan air
51,와 대단합니다 . 잘보고가요
52,"서비스는 대한항공, 안전은 캐세이퍼시픽"
53,싱가폴 항공은 항상 1위-2위권을 넘나들어서 그리 놀랍지는 않은데 에이티하드 항공이 10위권 밖이란게 좀 의아하긴 합니다. 2위는 할줄 알았는데.....
54,다음에는 전세계 저가항공사 순위도 올려주세요
55,아나가 갑.... 일본식서비스    최고..
56,항공사에 대해 비교를 통해 자세히 알게되었습니다 ^^
57,어쩌다 동남아보다 평가가 낮냐
58,스카이팀 항공사는 탑10에 거의 없네
59,개인적으로는 시설로는 에미렛이나 카타르 좋았고.  서비스는 싱가폴  . 싱가폴 좋나 친절함..  베트남항공 하고 JAL 이 쌍놈들은 좋나 불친절함.
60,순위권에 국내 항공사가 없어서 국뽕을 못받아버렸다
61,"유일한 1사고 기록 싱가폴 항공
...........................
그때 런웨이 잘못보지만 않았으면 
무사고인데 그것때문에 1번의 사고 기록 보유중......"
62,에티하드항공은 몇위인가요?
63,나는 에티하드 항공사가 제일 편하던데
64,1등이요 오늘도 잘보았습니다.^^
65,그래도 말통하는 국적기가 더 좋은것 같아요~
66,에미레이트는 어디동맹소속인가요
67,개인적으로는 에어프랑스랑 에티하드항공이 되게 괜찮았네요.. 특히 중동쪽 항공사들이 최신기종이라 너무 좋았어요 에어프랑스는 기내식이 너무 맛있어서  ..
68,탈려면 고급좌석에 타야겠죠?
69,거의 다 타봤는데요. 비지니스빼고   . 대한항공이 최고.
70,국적기 타는게 편한 사람들도 많지만 영어 좀만 되는 사람들은 외항사 적극 추천함. 국적기보다 좋은 외항사 엄청 많아서 타보면 연착 거의 없고 기내식도 잘나오는 항공사 많음. 그리고 단거리 노선에는 당연히 낡거나 작은 비행기가 대부분이니 서비스도 떨어지는건데 그걸 가지고 항공사 평가를 하는 사람들은 좀 어이가 없음. 원래 항공사의 진가는 장거리노선으로 따져야됨
71,"인천공항 라운지들이 후지다고요...?
라운지 항상 이용해서 공항마다 라운지는 다 가보았는데 쾌적하고 음식종류, 퀄리티 다 따져도 인천공항 라운지보다 좋은 곳 거의 못봤어요"
72,대형항공사일수록 좋은 성적 내는데 어렵지 않나 싶어요. 아무래도 규모가 작을 수록 관리하는데 유리할테니깐요. 이런걸 감안하면 루프트한자나 에미레이트가 대단하다고 생각되네요.
73,난 아시아나가 좋던데....마일리지 쓸데도 많음
74,대한항공은  국적기가 아닙니다.그냥 민항기입니다
75,"아참,

중국 남방항공이  14 위에 올랐답니다

Really???????"
76,내년 3월에 에어버스 a380 비즈니스 타고 미국가는데 아시아나임 그 지금이랑 같을까요
77,케세이퍼시픽 정도만 보고 배웠으명 좋겠다 댄공..
78,개인적으로 KLM이 젤 좋았음
79,스카이팀 가즈아~~~~!
80,아쉽게도 케서이퍼시픽 항공에대한 좋은기억이별로없는데 좋은평가를 받는게 의문이네요
81,타이항공이 태국것인가요?? 전 타이완껄로 알고있는데요??
82,"대한항공,아시아나가 top10에 올라서 자랑스럽다"
83,대한항공 NO1 .
84,2:40은 조금 틀린 것 같습니다
85,난 아시아나 제복이 깔끔하고너무이쁘더라     
86,"전 아시아나항공 A380 일등석으로 LA갔었는데
진짜 좋더라구요 대한항공 일등석도 좋았지만
배스트 일등석은 싱가포르항공 A380 일등석과
에티하드항공 일등석이 제일 좋았던거 같아요"
87,외국인 친구들이 한결같이 하는 말인데 대한항공 아시아나 모두 영어소통이 잘 안된다고 하더라고요. 제가 탔을때는 다들 안내방송도 매끄러워서 괜찮았는데 케바케인가봐요   
88,"대한항공이 최고던데. 대한민국 항공사 중.

아시아나는 노후기종 천국에, 무슨 복권 뽑 듯 기종 변동 심하고, 기종에 따른 시설 차이가 너무 극렬하게 나서 타기가 싫음.
대한항공은 기종간 시설 차이가 별로 없어서 어떤 기종이 걸려도 큰 문제는 없음.

=================
그리고  이거 순위는 영국 스카이트랙 을 바탕으로 하신 거 같은데 스카이트랙 순위 너무 믿지 마셔요. 그냥 재미로.
솔직히 실제 평가는 대한항공이 소비자 평가에서 탑 10위 안에 다 들어가게 나오는 곳도 많음. 그러나 아시아나는 언급 따위 없음"
89,항공기 연식은 아시아나나 대한항공이나 매이저로 이용하는 항공기들은 최신이나 최상급일텐데 최상의 서비스를 제공하지못해서그런거같네요
90,기준이 뭔데요? 정말 웃긴다.   
91,어디 아시아나 따위가 댄에 대드나         똥차 굴리는 주제에
92,건강이 엄청 안좋아진다고 하던데 여자던 남자던...할게못됨
93,아는 아가씨가  했는데 개인적으로 한달에 최소 천은 받아야 할 직업이라 생각함.너무 고생스럽고 인간들 상대하는것이 가장 큰 스트레스
94,나 아시아나 갈래.....
95,"정년도 짧은데 
400-450이면 작은돈이네요

사무직보다 고생도 많이 하는데"
96,"여기 댓글분들
무슨 억화심정이 있어서
저래 못 까서 안 달인지   "
97,왜 때려쳤는지는 안나오나요? 이게 제일 궁금한데;
98,"돈만 보면 많이 보는거 같지만,
사람을 갈아넣는 구조라서
힘든거에 비해 많이 받는다고 채감은 안들듯.....
그렇지만 동일연차로 보면 타직군에 비해 많이 받는 편이지 그래서 되려는 사람이 많은거고"
99,와 엄청들 10어대네...배 아픈 사람들많아..
100,속으로 에미레이트 겁나 부러워하고잇넼   
101,카타르항공에 계신분들 저랑 친구해 주세요     
102,직원 복지는 에미레이트 정도되어야..
103,목숨걸고하는거다 많은거아니다 열심히사는게답이다
104,외항사 정말 좋데요 중동 항공사 숙소 세탁비 무료 전기 무료 전기세 안내요
105,진짜마니받는구나   근데 위험하고 근무 수명이짧지않나..
106,생각보다 디게 적게받으시구나
107,돈보다는 건강이...  안좋아지실듯..
108,넘 유익하구 좋아요   자주 많이 다양한 내용 올려주세요 :-)   
109,제니쌤은 실물이 훠어어어얼씨  이쁘셔요 
110,"와, 역시 좋네요.   부럽습니다. 좋아요 꾹~ "
111,다 말씀해주시니 시원하네요. 어느 직업이나 양지도 있고 음지도 있죠^^
112,"세상에 공짜는 없고
많이 주는덴 이유가 있다"
113,하지만 우린 알고있지 많이 주는데는 이유가있다는 사실  . . .
114,진짜 도하는 심심할 듯 하네요~ 그나마 dxb/auh는 놀거리라도 많지. 스탭들 인천공항서 떠날 때 다들 표정이 
115,헐..생각보다 적네여
116,조켓당 ...
117,뭐든 일 한 만큼 받는거지.. 높으면 높은대로 낮으면 낮은대로 그 만큼 받는 이유가 있다고 생각함.
118,댓글들수준들하고는 어휴
119,"세후 450-470이라고? 이거 실화맞냐
진짜 상위 5퍼네"
120,개멋지다..
121,이와중에 대한항공은 없네 .
122,"디스크 조심!!
오리같은 직업. 겉으론 좋지만 속은 힘든...
집사람이 항공사 준비했던 사람으로 개인적으로 좀 안타까운 직업..."
123,"에어부산항공들어갈려면 부산에살아야하고
부산에 지내는시간이 많나요?"
124,세전이여 세후여? 여튼 잘 버네  
125,화기애애하네요.
126,"아,, 웃프다"
127,먼데 이리 재밌지
128,우와 많이 버는 구나 350~500 정도라고 보면되네.. 부럽부럽
129,일할때 돈은 많이 버는데 오래못하고 경력은 절대 단절에 눈은 높아져서 다른일을 절대 못하는 매우큰 리스크를 안음
130,잠못자고 계속 비행해야 돈 많이 받는데 왜 저렇게 많이 버는식의 대화를하지   
131,"저돈때문에 일한다는 시각, 일한댓가로 돈받는다는 시각. 자기 기준으로 세상 보는거고    돈은 얼마를 벌든 모자른거고"
132,촤촤촤촤촤~! 촤촤~
133,에어부산이 제일낫다...
134,잘보고갑니다
135,초봉을 저렇게 준다는 거아녀
136,와 아시아나  많이 번다
137,대단하셔요 다들      
138,지렸다.
139,3분 너무 짧다
140,근데 생각보다 비행수당이 적은거 같으네...  오래 근무하면 무릎 작살날건데...
141,얼마 못버네 세후 4천쯤하겠네
142,괜찮은편이네요. 그러니 인기 가 많겠죠. 잘 보고 갑니다.
143,외국에서 시간을 나름 보내니깐 수당을 거기서 다 써야겠네
144,해외 다니면서 자기만 부지런하면 공짜구경 많이하고  좋을거같음.
145,      
146,비올때 완전 무섭던데 덜컹거리고 흔들리고 오래타셨으니 적응되셨나요?
147,아시아나. 망했단다
148,근데 저 분 황미나 씨 아닌가요...?
149,1:48 안녕하세요 카타르항공에서 크루로 근무하던 룸메이트 말로는 작년 2018년부터 카타르항공에서 친구 할인은 없어졌다고 합니다. 참고하세요.
150,Annual salary Wow!!!!
151,근데 비행기는 방사능이 높아서 무서워서 못 해요  그래서 비행기는 안타요    돈은 부럽지만
152,엄청 빡세보이던데  400-500받는거 많이 받는게 아닌듯... 나 같으면 차라리 공뭔이 나을듯~~들어가려면 공뭔 시험준비 만큼 빡셀듯 한데~
153,그러든지
154,많이 주는 이유가 있죠  고생많이 하고 받는 돈입니다~
155,없데요가 아니고 없대요..
156,조서놈들 선진국가 하면서 직원 부려먹는건 후진국 중 후진국
157,예상한것 보다 많이 받아서 깜짝놀랐어요     저는 굉장히 짜게 받는줄알고 100후반에서 200초중반 생각했는데 다음생에 키크게 태어나면 한번은 경험해보고싶은 직업이네요
158,에어부산님 혹시성함이?
159,자신의  직업에  자부심을  가지고.돈을   생각 마셔요
160,에미레이트 항공 위엄쩌네   
161,"건강수당도 달라하시오. 기본급이 180인데 수당으로 300 이상이라..우워...
난 기본급385 각종 수당 상여 750  설.추석.하계휴가 휴일근무 1년정산.성과금등등
나도 위험한 건강버리는일함 발암물질도 나오는곳    벌써 13명중 암환자5명 사망2   "
162,이게 많이번다고? 내 전여친이 아시아나엿는데 하늘위의 노가다라함. 건강이나 사고리스크도잇는 직업에 진상들맨날상대하고...
163,현세기에 국가란 영토의 많은 분배중 한 자리이다 많은 인구중 우두머리를 세우고 그 밑으론 조직화 되어 있다 지구인은 모든 영토가 한조약으로 체결되어 움직이고 그 시스템에 맞춰 기술 문명을 발달 시켜야한다 우리는 풀지 못한 전자식을 극복하고 이제는 문명이 진화하는데에  총력을 가해야하는 것이 숙제다
164,생명 수당인데  많이 받아야지
165,그러니까 일 빡쎄게 하는 전제 하에 평균 보너스 다 포함해서 세전 400정도 된다는 거네. 세후와 4대보험료 빠지고 하면 350정도 가져가는건가요?
166,이렇게 조건좋은듯 싶어도 적성에 맞아야한다 늘 떠돌이처럼...살아야하고 비행기안에서 추행도 많다고하더라구
167,"처음들었을때는 와    했는데 
계속들어보면 걍3d  "
168,      음...케바케인듯.....!
169,젊을때 하는거지 늙으면 암 이라던지 잠재적인 병 옵니다. 건강에 무지 않좋아요.
170,이런방송은 왜 하냐
171,저 정도 못받는걸로 아는데~~ 타채널에서 이미 한번 다 다뤘던 소재들~~
172,복리 > 복지
173,"좋댄다
그래봤자 
비행중에 개노가다인데"
174,"세금때고 체류비별로안나와도 보너스없는달이없으면 매달400이나 쫌넘게찍네,, 그정도면 노가다나생산직급됬다,, 물론쉬는건 다들 별로 없겠지만..,"
175,아시아나가 저렇게 많이 받는다고?
176,"되고싶어하는 사람은 널렸는데
근속년수보면... 노답
맘충진상들  시차적응  영종도라는 조낸먼 근무지등등 
차라리 국내선은 근속 더 긴거같던데"
177,그렇게 좋은데 왜 때려치셨는지..
178,방사능 피폭만 아니면 최고의 직업인데 ..
179,한국남자들 평균 세후 240받을텐데                                        
180,  
181,돈마니받네
182,너무적다 바끼만 끼고 1억씩받는디
183,"우아  ,,,엄청 궁금햇는데 유익햇습니당    "
184,예뻐야 할 수 있는 직업
185,하늘식모라는 말이 괜히나온 말이 아님 정말 힘든 직업인거 같아요 피폭량도 많아서
186,근데 왜 스튜하면 자기가 특별하다 생각하지
187,500이 많은것도 아닌데..왜 안부럽지
188,다이쁘시네
189,아@@ 가 회장님 기쁨조라 많이주는듯?
190,결론 아시아나가 제일 많이줍니다
191,서빙을 해도 하늘에서 하자.
192,고작 ~ 추락하면 돈도 필요없다
193,오른쪽여자 황미나닮앗다
194,에어부산녀 이직해야될듯
195,90시간 일하고 저렇게..;;
196,많이나오내    왜 궁시렁 궁시렁거리냐   
197,생각보단 마니못받네  
198,숨겨진 뒷 이야기는 모르시죠      모르는 세상 이야기가  있다고 하네요    
199,얼굴은 에어 부산의 승리  
200,제목처럼 때려치는 이유가 있는겁니다
201,"스튜, 3d 직업인데!  퀵턴 하면- 실신직전됨."
202,3D
203,너무 많이 받네요. 이제 로봇 쓰는게 좋을 것 같아요.
204,부럽다.  
205,90시간이면 방사선피폭이 얼마야...목숨담보로 버는게뭐가좋다고  
206,생각했던것보다너무너무작군요
207,다시 공부해서 아나운서 되보세요. 힘내시구..그러면 재벌2세들하고 만날 수 있어요. 화이팅!
208,이야 한달에 90시간이면 한달에 4일 좀 안되는 비행시간에 4~500이면 엄청 많이 받는거 아닌가요? 선원 보다 훨씬 더 많이 받네.
209,얼마못버네
210,김밥천국 아주머니도 저 높은 곳에서 목숨걸고 김밥 썰면 그 돈 받는다.
211,성형   
212,90시간....그정도 받아야 일하지...아니면 일할사람 아무도 없음...
213,그거받고  몸  망가지고
214,남의 돈 먹기 쉽지가 않죠. 다들 화이팅~
215,최혜영 동무. 고려항공으로 오시라요.
216,그래봐야 공중서빙아님?  
217,늘신하네
218,에어부산이 젤 이쁘네
219,빛좋은개살구 좋은예시의 직업
220,항공사들은 직원들이 꿀빠네 주주들은 별론데
221,요즘 얼굴 안보고 뽑는듯
222,"  다            터     스                     듣    늧        
해석해바라"
223,"얼마안되네.
그것받고 자랑질.
웃기다"
224,기본급은최저시급수준이네
225,그만큼 직업 수명이 짧지안것니
226,영어할줄아는 하늘위에 홀써빙
227,"일단 에미레이트나 마카오는 세금이 만원도 안됨
헬조센이 얼마나 많이 삥뜯는지 알 수있는부분"
228,이  여자들  거둘려면  월 평균 천만원이 되어야네   
229,미국에선 장소만 식당이 아닌 비행기속 고졸학력을 요하는 웨이트레스.
230,어?? 맨왼쪾에 나 아는애인데?      쟤 그만뒀어?
231,이쁘니까 서빙만해도 많이버네
232,똑같은 성형에 똑같은 화장.
233,"밥배달, 잠자리 준비,라면3번 끓이기에 대한 굴욕비도  포함되있는듯  "
234,캐빈크루 허세들 ...   
235,가운데 걸. 귀엽넹
236,"걍 서빙하는 서버지 무슨    
   "
237,에어부산  뭘 해봤어야 알지...저런애가 무슨 항공사를 안다고...제발 저런애들 출연좀 시키지마라
238,저돈이 그냥 일때문에 들어오는 돈이 아니지 우주방사선에 노출이 되는데 그래서 평균 비행 시간이 정해져있긴하지만 위험한건 당연한거고 생명수당도 포함되어있는거라고 보면됨 멋있는직업이지만 그만큼 속을 파보면 힘든 직업임
239,얼굴들만봐도 거름각 바로 나오네
240,공중다방.. 이거하다 암걸린 애들 두명봤어요
241,니들 그렇게 받고 서비스 개판이다?.. 알지!
242,  들    
243,별로 못버는구만
244,비행기에서 밥주는 애들... 화이팅...
245," 남자왁싱 단돈 5만원 

왁싱 비싸게 받지 마세요~
서울 강남 역삼동에 미모의 여자왁서가 직접 해주는 남성전문 브라질리언 왁싱샵 ""제니의 왁싱스토리"" 에서 가성비 좋게 받으시고 올겨울 깔끔하게 보내세요^^
안드로이드,아이폰 ""제니의 왁싱스토리""어플 다운후 예약가능"
246,생각보다 못버네 그나저나 에어부산이 제일 낫다 얼굴이   
247,출근하러가는게 아니라 데쉬받으러 가는거 아님? 하루에 꼭 한명은 명함주거나 이름외웠다가 연락올텐데
248,못배운애들이하는거
249,      
250,다들 진짜 맛있게 생겼다
251,다행이도 요번 편도 최리안님 출연하셨네요!! 이제 절대 결석하지 마요!! 셋이 모여야 더 빛나는 항때언이 되는거니까~  
252,"진지한 이야기 중에도 팩하는 온니들     
그래서 피부들이 다들 좋은가봐요~~~~ 
근데 팩 진짜 얇네   .."
253,다시 하고 싶은데 왜 그만두지 이해가 안 되네
254,"    헐.... 중간에 무서운 얘기. 




내용을 말하면 스포닌까 얘긴 안 함...  "
255,"쌩얼이랑 화장하신거랑 다를게없어요... 
정말피부는 타고나야되는부분이 제일큰거같아요 "
256,뜬금 없지만 세분다 피부가 진짜 좋으시네~
257,정효승님 미모는 알고있엇지만 ...뒷자석에 3명이탄다는게 놀랍다
258,학생들을 가르치는 두 분은 학생들이 보고있어서 그런지 진짜 왜 그만 뒀는지 솔직히 말씀 못하시는것 같은데요? 솔직한 답 듣고싶었는데 아쉽네용
259,헐 스튜디오가 목동에 있었군요      0:48 여기 우리 집 바로 앞인데     너무 신기해요   
260,나 1 빠
261,드디어    
262,드디어 궁금하던 화가 나왔네영   
263,"효승님 머리 붙인건가요?
아님 많이 기르신거?"
264,다들 진짜 피부가 너어무 좋네요.... 보면서 감탄감탄
265,진솔한 얘기는 정말 좋지만 뭔가 초심하고 달라진 느낌? 협찬 들어오고 계속 그 위주로 가는 거 같음 ... 좀 아쉬움
266,이번편 꿀잼이야 
267,"항상 재미있게 보고 있습니다
좋은 제품들도 추천해줘서 너무 좋네요~"
268,"3:39 새로 오신 분들인가요?




잘보고 갑니다앗!"
269,하이난 아니면 에어 프랑스
270,유니품 정도는 세계 항공사 순위 4위에 선정돠었다던 아랍의 에미레이트 항공을 이겨버리는 우리나라 대한항공
271,"이런, 중국동방항공은 스카이트렉스에서 세계에서 가장 안좋은 항공사 8위로 선정되었던데 유니품은 좋네"
272,와우
273,"6:45

탈룰라아아아핰핰핰핰탈루우우우울랔                        "
274,하이난 완전 멋지네여
275,아시아나 직원이세요???????
276,"탑 10이 아니라 5성급 항공사 죄다 이상하게 섞어놨네. EVA, 타이 같은데는 어디로?"
277,아시아나 자랑스럽군요.
278,"카타르나 에미레이트는 앞에서 1등
고려항공은 뒤에서 1등   "
279,1:43자막으로는1987만 대사로는 1978만인데유?
280,장세동과 같은 고향(전남 장흥/고흥)인 전두환이 금호아시아나를 밀어준 거임...
281,하이난은 진짜 아닌데 의외네
282,"루프트한자 직역하면 공기동맹이라던뎈   
독일 유학가셨던분이 얘기해주심"
283,이런거다봐도....어차피 저가항공
284,저아시아나 타밨어요
285,싱가폴  놀러갈때 싱가폴 a380 타봤는데
286,아시아나는 왜들어가죵..
287,이슈텔러 랑똑같네
288,에미레이트는 이코빼고 다좋지요.. 343닭장..어휴
289,"전에 유럽 여행가는데 카타르 항공 비행기 타고 갔었거든요
부자가 아니라 이코노미석을 앉았는데 비행기도 자 쌔삥(?)이고 깨끗하고 좋았어요   "
290,에티하드가 빠졌네요  
291,우리나라 항공은 정시율 때메 순위를 많이 못올립니다
292,어처피못타''저가항공이 최고임
293,"2015년도인가 16년도에 유럽여행 갈때 하이난타고갔는데, 완전 최악이었어요     서비스도 별로 음식도 별로 중국사람들 완전 무질서에 온갓소음들     12시간 비행하는동안 목마르고 배고프고 엄청 불편했습니다. 뭐 물론,지금은 좋아진거겠죠..?"
294,"개소리도 작작해야지
매거진 어디를 봐도 이딴 순위는 없음 그냥 비싸면 다 순위 오르나?"
295,케세이 퍼시픽 서비스가 그렇게 좋다던데..
296,"10 - THAI AIRWAYS

9 - GARUDA INDONESIA

8 - HAINAN AIRLINES

7 - LUFTHANSA

6 - CATHAY PAXIFIC

5 - EVA AIR

4 - EMIRATES

3 - ALL NIPPON AIRWAYS [ANA]

2 - QATAR AIRWAYS

1 - SINGAPORE AIRLINES

이겁니다만..
아, 참고로 ASIANA AIRLINES는 좋은 항공사로 23위 입니다. TOP 10 안에도 안 들어와있죠. 최소 시청자 40000명 (조회수) 정도 속이셨네요..TOP 제대로 규정해주시는게..^^"
297,"8:29초 오스트레일리아항공사
진짜 실화낰!
개빡치네     "
298,저가항공을 탈 지언정 중국 항공사는 안탄다...
299,8:20  뭐지요? 저건 버진이 아니라 에어아시아330같은데요?
300,국뽕이 아니라 여러 공항 다녀봤지만 인천공항이 여러 면에서 가장 우수했습니다. 싱가폴 창이공항도 나쁘지는 않았지만 둘러보거나 쇼핑할 데가 정말 너무너무 없음. 2008년 그리스 아테네 공항은 충격 그 자체. 공항 안 아무 곳에서 흡연함..
301,이티하드가 없는거같네 있을줄 알았는데
302,EVA는 어디 갔지...
303,에티하드도 없고 특히 이상한게 왜 아시아나죠 대한항공도 아니고...
304,8분17초에서 조금만더 가면  버진 오스트레일리아회사가 아닌 에어아시아비행기를 넣어두셨네요   ;  슈트가 비슷해서 순간 에어아시아인가 착각할정도긴하네요   ;
305,어디든 좋으니까 외항사 되고싶다   노력해서 꼭 외항사 되야지!!! 이왕이면 에미레이트로.. 
306,난대한항공이편한데
307,대한항공은 없네    
308,국뽕
309,그냥 아시아나가답
310,뭐뭐 어디 항공사가 좋은거는 취향이라고 생각하는데 제발 뭐뭐 항공사가 좋다고 그만해주세요
311,진짜 궁금해서 그러는건데 같은 거리를 가도 여기 나온 항공사보다 대한항공 아시아나가 대부분 항공권 더 비싸던데 왜그런거임?? 더 좋은 항공사가 더 비싸야 정상 아닌가??
312,카타르 타봤는디 저사슴 1:39 나오는 가방을 초딩들한테주는데 그거다 영어라 극혐임   
313,싸다구를 그냥 추임새로 넣네 겁나 거슬림;;
314,싸다구 왤케 많이넣는겁니까...
315,싸다구 몇번을 넣는거야
316,1절만 해야지   싸다구 쳐맞아서 뇌절왔나
317,싸다구 정신산만하네  
318,"애초에 대형항공사들은 유럽이나 미국같은 다른 대륙을 가지만
저가항공사들은 중국일본같이 아시아지역 노선밖에 없죠"
319,   싸다구 여러번 넣는거 나만 불편한거 아니네
320,그래서 좌석이 불편햇구나    그좁은뱅기에 좌석을 더우겨넣으니
321,저가항공이아니라 저비용항공이 맞는표현입니다
322,국내선은 저가나 일반 항공사나 차이 없음. 오히려 아시아나나 대한항공이 더 쌀 때도 많음.
323,저가항공사의 비밀을 알기쉽게 설명해주시네요! 
324,어뜨케 설명하는 사람 우루사 하나 선물해드리고 싶어여...  그래도 이해 어려운 부분이있었는데 그 원인을 콕 집어주닌까 이해가 쏙쏙 되네요
325,이걸 컨펌 받았다고..?
326,서비스가 비교적 안 좋아도 1~2시간밖에 안 타는데 비용히 확실히 저렴하다 보니까 저가항공을 찾게 되는 것 같아요
327,오 케 불편러들이 많지 대화형식으로 이해하기쉽게 잘 제작했는데 잘보고갑니다
328,국내선 비행기티켓은 저가항공도 국적기항공도 영수증 처럼 나와요
329,"어니 근데 오류가 좀 있네요 국내선은 저가항공이나 대형항공사나 다 영수증같이 생겼고,심지어 프레스티지석(대한항공 비즈니스)도 영수증처럼 나오지만,국제선은 모든항공사들이 다 티켓으로 나옵니다."
330,피치못해 탄다는 피치?
331,반말무엇;
332,나만 싸다구 신경쓰이는거 아니구나...
333,저가라니....저비용항공사 입니다. 제발
334,"저 기자분이
노잼이라 싸다구 넣었네.. 그리고 돈 아무리 많아도 아시아권갈때는 퍼스트 개오바 .. 주관적인 생각"
335,저비용항공사에요... 기자들이 용어도 제대로 된 걸 안 쓰니 다들 저가항공이라 하지....
336,어찌됐건 쏙쏙 이해가 잘 되네요
337,어디항공사나 국내선은 영수증처럼 나오는데
338,저가항공 아니고 저비용항공사입니다. Low Cost Xarrier. 엠빅은 알겠지만. 모르는 사람 있을수도 있으니.
339,근데 왜 갑자기 끝남?
340,제주도 수학여행갈때 대한항공인가 아시아나던가 탄거같던대 영수증으로 주던댐
341,1절만해 제발
342,PPL입니까? 얼마받았소?   
343,1빠
344,아일랜드 보딩패드 논eu는 출력안해감 50유로   
